Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
SIGAD8_I1_adult_rep1b_batch2_run1	99.9999914751	51.0	8.0	46921509.0	27.2727272727
SIGAD8_R1_adult_rep1b_batch2_run1	33.246173211	47.0	28.0	46921509.0	0.0
SIGAD8_R2_adult_rep1b_batch2_run1	74.2646956222	49.0	91.0	46921509.0	9.09090909091
SIGAE8_I1_adult_rep2b_batch2_run1	99.9999944641	49.0	8.0	72255236.0	27.2727272727
SIGAE8_R1_adult_rep2b_batch2_run1	25.4621108595	47.0	28.0	72255236.0	0.0
SIGAE8_R2_adult_rep2b_batch2_run1	77.7179969752	49.0	91.0	72255236.0	9.09090909091
SIGAF6_I1_adult_rep1a_batch1_run1	99.9999951216	50.0	8.0	81994291.0	27.2727272727
SIGAF6_R1_adult_rep1a_batch1_run1	24.8675516719	47.0	28.0	81994291.0	0.0
SIGAF6_R2_adult_rep1a_batch1_run1	76.2828803303	49.0	91.0	81994291.0	9.09090909091
SIGAF8_I1_adult_rep3b_match2_run1	99.9999806711	50.0	8.0	20694350.0	18.1818181818
SIGAF8_R1_adult_rep3b_match2_run1	28.8032569539	47.0	28.0	20694350.0	0.0
SIGAF8_R2_adult_rep3b_match2_run1	69.2254932694	49.0	91.0	20694350.0	9.09090909091
SIGAG6_I1_adult_rep2a_batch1_run1	99.9999949449	52.0	8.0	79127364.0	27.2727272727
SIGAG6_R1_adult_rep2a_batch1_run1	21.5229431291	47.0	28.0	79127364.0	0.0
SIGAG6_R2_adult_rep2a_batch1_run1	76.2658075925	49.0	91.0	79127364.0	9.09090909091
SIGAG8_I1_adult_DEN_batch2_run1	99.9999958761	49.0	8.0	96994944.0	27.2727272727
SIGAG8_R1_adult_DEN_batch2_run1	57.2760156709	47.0	28.0	96994944.0	9.09090909091
SIGAG8_R2_adult_DEN_batch2_run1	79.8911600533	49.0	91.0	96994944.0	9.09090909091
SIGAH6_I1_adult_rep3a_batch1_run1	99.999994992	51.0	8.0	79871698.0	27.2727272727
SIGAH6_R1_adult_rep3a_batch1_run1	19.7342007741	47.0	28.0	79871698.0	0.0
SIGAH6_R2_adult_rep3a_batch1_run1	75.5092613297	49.0	91.0	79871698.0	9.09090909091
SIGAH8_I1_adult_noDEN_batch2_run1	99.9999953377	50.0	8.0	85795084.0	27.2727272727
SIGAH8_R1_adult_noDEN_batch2_run1	19.2181726483	47.0	28.0	85795084.0	0.0
SIGAH8_R2_adult_noDEN_batch2_run1	78.6401023719	49.0	91.0	85795084.0	9.09090909091
