Module	Section	Sample Name	Source
FastQC	all_sections	SIGAE8_R2_adult_rep2b_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAE8_R2_adult_rep2b_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAF8_I1_adult_rep3b_match2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAF8_I1_adult_rep3b_match2_run1_fastqc.zip
FastQC	all_sections	SIGAF8_R1_adult_rep3b_match2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAF8_R1_adult_rep3b_match2_run1_fastqc.zip
FastQC	all_sections	SIGAF6_R2_adult_rep1a_batch1_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAF6_R2_adult_rep1a_batch1_run1_fastqc.zip
FastQC	all_sections	SIGAH8_R2_adult_noDEN_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAH8_R2_adult_noDEN_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAD8_R2_adult_rep1b_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAD8_R2_adult_rep1b_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAG8_I1_adult_DEN_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAG8_I1_adult_DEN_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAF6_R1_adult_rep1a_batch1_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAF6_R1_adult_rep1a_batch1_run1_fastqc.zip
FastQC	all_sections	SIGAE8_R1_adult_rep2b_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAE8_R1_adult_rep2b_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAH8_I1_adult_noDEN_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAH8_I1_adult_noDEN_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAG6_R1_adult_rep2a_batch1_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAG6_R1_adult_rep2a_batch1_run1_fastqc.zip
FastQC	all_sections	SIGAH6_R1_adult_rep3a_batch1_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAH6_R1_adult_rep3a_batch1_run1_fastqc.zip
FastQC	all_sections	SIGAH6_R2_adult_rep3a_batch1_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAH6_R2_adult_rep3a_batch1_run1_fastqc.zip
FastQC	all_sections	SIGAG8_R2_adult_DEN_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAG8_R2_adult_DEN_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAG6_I1_adult_rep2a_batch1_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAG6_I1_adult_rep2a_batch1_run1_fastqc.zip
FastQC	all_sections	SIGAG8_R1_adult_DEN_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAG8_R1_adult_DEN_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAF6_I1_adult_rep1a_batch1_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAF6_I1_adult_rep1a_batch1_run1_fastqc.zip
FastQC	all_sections	SIGAD8_I1_adult_rep1b_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAD8_I1_adult_rep1b_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAF8_R2_adult_rep3b_match2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAF8_R2_adult_rep3b_match2_run1_fastqc.zip
FastQC	all_sections	SIGAG6_R2_adult_rep2a_batch1_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAG6_R2_adult_rep2a_batch1_run1_fastqc.zip
FastQC	all_sections	SIGAE8_I1_adult_rep2b_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAE8_I1_adult_rep2b_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAH8_R1_adult_noDEN_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAH8_R1_adult_noDEN_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAD8_R1_adult_rep1b_batch2_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAD8_R1_adult_rep1b_batch2_run1_fastqc.zip
FastQC	all_sections	SIGAH6_I1_adult_rep3a_batch1_run1	/media/storage/mcGinn_2021/concatenated_runs/sample_concatenated/fastQC/SIGAH6_I1_adult_rep3a_batch1_run1_fastqc.zip
