Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
SIGAD8_I1_adult_rep1b_batch2_run2	99.9999982658	51.0	8.0	230648349.0	27.2727272727
SIGAD8_R1_adult_rep1b_batch2_run2	70.4754651379	47.0	28.0	230648349.0	9.09090909091
SIGAD8_R2_adult_rep1b_batch2_run2	82.2812432015	49.0	91.0	230648349.0	9.09090909091
SIGAE8_I1_adult_rep2b_batch2_run2	99.9999988818	49.0	8.0	357719744.0	27.2727272727
SIGAE8_R1_adult_rep2b_batch2_run2	61.6018480527	47.0	28.0	357719744.0	9.09090909091
SIGAE8_R2_adult_rep2b_batch2_run2	84.8283910233	49.0	91.0	357719744.0	9.09090909091
SIGAF6_I1_adult_rep1a_batch1_run2	99.9999984083	50.0	8.0	251296572.0	27.2727272727
SIGAF6_R1_adult_rep1a_batch1_run2	49.0404851563	47.0	28.0	251296572.0	0.0
SIGAF6_R2_adult_rep1a_batch1_run2	82.1804521486	48.0	91.0	251296572.0	9.09090909091
SIGAF8_I1_adult_rep3b_match2_run2	99.9999985325	50.0	8.0	272564946.0	18.1818181818
SIGAF8_R1_adult_rep3b_match2_run2	82.4956807381	47.0	28.0	272564946.0	9.09090909091
SIGAF8_R2_adult_rep3b_match2_run2	83.1577133316	49.0	91.0	272564946.0	9.09090909091
SIGAG6_I1_adult_rep2a_batch1_run2	99.999998857	52.0	8.0	349958119.0	27.2727272727
SIGAG6_R1_adult_rep2a_batch1_run2	52.4832575187	47.0	28.0	349958119.0	9.09090909091
SIGAG6_R2_adult_rep2a_batch1_run2	83.3784218198	48.0	91.0	349958119.0	9.09090909091
SIGAG8_I1_adult_DEN_batch2_run2	99.9999970581	49.0	8.0	135965362.0	27.2727272727
SIGAG8_R1_adult_DEN_batch2_run2	65.2959397639	47.0	28.0	135965362.0	9.09090909091
SIGAG8_R2_adult_DEN_batch2_run2	80.9524753679	49.0	91.0	135965362.0	9.09090909091
SIGAH6_I1_adult_rep3a_batch1_run2	99.9999990071	51.0	8.0	402852209.0	27.2727272727
SIGAH6_R1_adult_rep3a_batch1_run2	52.6110177949	47.0	28.0	402852209.0	9.09090909091
SIGAH6_R2_adult_rep3a_batch1_run2	83.500188665	49.0	91.0	402852209.0	9.09090909091
SIGAH8_I1_adult_noDEN_batch2_run2	99.9999991295	50.0	8.0	459531033.0	27.2727272727
SIGAH8_R1_adult_noDEN_batch2_run2	52.9476508698	47.0	28.0	459531033.0	9.09090909091
SIGAH8_R2_adult_noDEN_batch2_run2	85.8062878621	49.0	91.0	459531033.0	9.09090909091
